Piece,Key,Mode,PC1,PC2
1_C_Major,C,Major,1.6965383,3.6446943
2_C_Minor,C,Minor,-1.0178958,2.811945
3_C#_Major,C#,Major,-2.6854205,-0.4492054
4_C#_Minor,C#,Minor,-0.4917117,-3.0206225
5_D_Major,D,Major,3.4434361,-0.43634564
6_D_Minor,D,Minor,1.8051295,2.406099
7_Eb_Major,Eb,Major,-2.2160685,2.7979562
8_Eb_Minor,Eb,Minor,-2.7266939,-1.0714982
9_E_Major,E,Major,1.1529447,-2.3388314
10_E_Minor,E,Minor,2.9005659,0.2799706
11_F_Major,F,Major,0.9862446,2.5866866
12_F_Minor,F,Minor,-2.079172,2.6357868
13_F#_Major,F#,Major,-1.7541149,-1.7505434
14_F#_Minor,F#,Minor,0.41827756,-2.2395546
15_G_Major,G,Major,3.0955172,0.61332905
16_G_Minor,G,Minor,-0.19232538,3.3442388
17_Ab_Major,Ab,Major,-2.995163,0.71672314
18_Ab_Minor,Ab,Minor,-2.0320752,-2.1925762
19_A_Major,A,Major,2.4601154,-1.841822
20_A_Minor,A,Minor,3.0223908,1.8527907
21_Bb_Major,Bb,Major,-0.4963993,3.2988145
22_Bb_Minor,Bb,Minor,-3.4331493,0.3190242
23_B_Major,B,Major,-1.1544302,-3.6221929
24_B_Minor,B,Minor,2.6965714,-1.549294
